Sustainable Alternatives,xp,CO2 Emissions Reduction 값,
Use a tablet for multiple functions to reduce the need for other devices.,45,10.0,"When you skip one tablet,
Electronic Waste Reduction: 0.3 kg
CO2 Emissions Reduction: 10.0 kg
Landfill Use Reduction: 0.2 liters"
Use a wooden or bamboo hairbrush.,25,0.3,"When you skip one plastic hair brush,
Plastic Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.3 kg
Landfill Use Reduction: 0.5 liters"
Use and recycle properly.,25,0.2,"When you skip one nickel metal hydride battery,
Electronic Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.1 liters"
Use bamboo or fabric fans instead of paper ones.,15,0.08,"When you skip one paper fan,
Paper Waste Reduction: 0.02 kg
CO2 Emissions Reduction: 0.08 kg
Landfill Use Reduction: 0.05 liters"
Use baskets made of natural materials like wicker or bamboo.,30,1.0,"When you skip one plastic basket,
Plastic Waste Reduction: 0.3 kg
CO2 Emissions Reduction: 1.0 kg
Landfill Use Reduction: 1.5 liters"
Use Bee's Wrap or Silicone Food Covers.,10,0.03,"When you skip one sheet of aluminum foil,
Metal Waste Reduction: 0.005 kg
CO2 Emissions Reduction: 0.03 kg
Landfill Use Reduction: 0.02 liters"
Use biodegradable mulch or organic mulch materials.,25,0.2,"When you skip one square meter of plastic mulch film,
Plastic Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.3 liters"
Use biodegradable pots or reusable containers.,25,0.2,"When you skip one plastic garden pot,
Plastic Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.3 liters"
Use buttons made of wood or metal.,10,0.005,"When you skip one plastic button,
Plastic Waste Reduction: 0.001 kg
CO2 Emissions Reduction: 0.005 kg
Landfill Use Reduction: 0.01 liters"
Use certified sustainable plywood or alternatives like bamboo.,35,3.0,"When you repurpose or recycle one plywood sheet,
Wood Waste Reduction: 10.0 kg
CO2 Emissions Reduction: 3.0 kg
Landfill Use Reduction: 8.0 liters"
Use cloth napkins instead of paper napkins.,10,0.01,"When you skip one paper napkin,
Paper Waste Reduction: 0.002 kg
CO2 Emissions Reduction: 0.01 kg
Landfill Use Reduction: 0.005 liters"
Use compostable or recycled packaging materials.,25,0.4,"When you skip one piece of cardboard packaging,
Paper Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 0.2 liters"
Use compostable or recycled pizza boxes.,25,0.4,"When you skip one pizza box,
Paper Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 0.2 liters"
Use craft materials made from biodegradable or recycled sources.,25,0.2,"When you skip one piece of styrofoam craft material,
Plastic Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.3 liters"
Use digital business cards or recycled paper cards.,10,0.005,"When you skip one business card,
Paper Waste Reduction: 0.001 kg
CO2 Emissions Reduction: 0.005 kg
Landfill Use Reduction: 0.005 liters"
Use digital calendars to avoid paper waste.,25,0.4,"When you skip one calendar,
Paper Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 0.2 liters"
Use digital documents to reduce paper usage.,10,0.02,"When you skip one sheet of printed paper, Paper Waste Reduction: 0.005 kg CO2 Emissions Reduction: 0.02 kg Landfill Use Reduction: 0.01 liters"
Use digital filing systems or recycled paper folders.,25,0.2,"When you skip one file folder,
Paper Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.1 liters"
Use digital flyers or email newsletters.,10,0.02,"When you skip one flyer,
Paper Waste Reduction: 0.005 kg
CO2 Emissions Reduction: 0.02 kg
Landfill Use Reduction: 0.01 liters"
Use digital labels or recyclable sticker paper.,10,0.005,"When you skip one sticky label,
Paper Waste Reduction: 0.001 kg
CO2 Emissions Reduction: 0.005 kg
Landfill Use Reduction: 0.005 liters"
Use digital note-taking apps or recycled paper notepads.,25,0.4,"When you skip one notepad,
Paper Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 0.2 liters"
Use digital ones to reduce paper usage.,10,0.02,"When you skip one sheet of paper, Paper Waste Reduction: 0.005 kg CO2 Emissions Reduction: 0.02 kg Landfill Use Reduction: 0.01 liters"
Use digital sticky notes or recycled sticky notes.,10,0.005,"When you skip one sticky note,
Paper Waste Reduction: 0.001 kg
CO2 Emissions Reduction: 0.005 kg
Landfill Use Reduction: 0.005 liters"
Use durable drill bits with replaceable tips.,25,0.2,"When you skip one metal drill bit,
Metal Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.1 liters"
"Use durable, repairable headphones.",30,1.0,"When you skip one pair of headphones,
Electronic Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 1.0 kg
Landfill Use Reduction: 0.1 liters"
"Use durable, reusable glass plates.",25,0.25,"When you skip one glass plate,
Glass Waste Reduction: 0.3 kg
CO2 Emissions Reduction: 0.25 kg
Landfill Use Reduction: 0.35 liters"
"Use durable, reusable storage containers.",35,1.5,"When you skip one cardboard storage box,
Paper Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 1.5 kg
Landfill Use Reduction: 1.0 liters"
Use electric engines or maintain vehicles to extend engine life.,50,20.0,"When you skip one metal engine part,
Metal Waste Reduction: 4.0 kg
CO2 Emissions Reduction: 20.0 kg
Landfill Use Reduction: 8.0 liters"
Use electric vehicles or car-sharing services.,50,15.0,"When you skip one car part (e.g., engine component),
Metal Waste Reduction: 5.0 kg
CO2 Emissions Reduction: 15.0 kg
Landfill Use Reduction: 10 liters"
"Use energy-efficient, durable glass windows.",40,3.5,"When you skip one square meter of window glass,
Glass Waste Reduction: 5.0 kg
CO2 Emissions Reduction: 3.5 kg
Landfill Use Reduction: 6.0 liters"
Use excess soil in garden beds or as fill.,20,0.15,"When you reuse or properly dispose of one batch of excess soil,
Landfill Use Reduction: 10.0 liters
Environmental Impact: Minimal
Soil Reuse Potential: High"
Use fabric wrapping or reusable gift bags.,10,0.03,"When you skip one sheet of paper wrapping,
Paper Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.03 kg
Landfill Use Reduction: 0.02 liters"
Use fallen leaves as mulch or compost.,30,0.7,"When you compost one bag of fallen leaves,
Organic Waste Reduction: 4.0 kg
CO2 Emissions Reduction: 0.7 kg
Landfill Use Reduction: 3.0 liter"
Use fiber cement or wooden siding.,45,10.0,"When you skip one square meter of aluminum siding,
Metal Waste Reduction: 1.5 kg
CO2 Emissions Reduction: 10.0 kg
Landfill Use Reduction: 2.0 liters"
Use folders made from recycled paper or cardboard.,15,0.08,"When you skip one plastic folder,
Plastic Waste Reduction: 0.02 kg
CO2 Emissions Reduction: 0.08 kg
Landfill Use Reduction: 0.15 liters"
Use glass jars or other reusable containers for food storage.,20,0.1,"When you skip one tin can,
Metal Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.1 kg
Landfill Use Reduction: 0.05 liters"
Use glass or silicone containers.,35,2.5,"When you skip one steel food container,
Metal Waste Reduction: 0.3 kg
CO2 Emissions Reduction: 2.5 kg
Landfill Use Reduction: 0.5 liters"
Use handkerchiefs or tissues made from recycled paper.,10,0.01,"When you skip one facial tissue,
Paper Waste Reduction: 0.002 kg
CO2 Emissions Reduction: 0.01 kg
Landfill Use Reduction: 0.005 liters"
Use high-quality rechargeable batteries and recycle when done.,25,0.2,"When you skip one rechargeable battery,
Electronic Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.1 liters"
Use in home improvement projects,25,0.5,"When you repurpose or recycle one square meter of ceramic tiles,
Ceramic Waste Reduction: 2.0 kg
CO2 Emissions Reduction: 0.5 kg
Landfill Use Reduction: 1.5 liters"
Use large branches for firewood or crafts.,35,2.0,"When you compost or chip one large branch,
Organic Waste Reduction: 10.0 kg
CO2 Emissions Reduction: 2.0 kg
Landfill Use Reduction: 8.0 liters"
"Use long-lasting, durable lamp shades.",25,0.4,"When you skip one glass lamp shade, Glass Waste Reduction: 0.5 kg CO2 Emissions Reduction: 0.4 kg Landfill Use Reduction: 0.6 liters"
Use materials like clay or natural fibers for art projects.,25,0.3,"When you repurpose or recycle one ceramic art piece,
Ceramic Waste Reduction: 1.0 kg
CO2 Emissions Reduction: 0.3 kg
Landfill Use Reduction: 0.8 liters"
Use metal or bamboo knives.,15,0.05,"When you skip one knife,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters"
Use mulch or leave clippings on the lawn to decompose naturally.,25,0.5,"When you compost one bag of grass clippings,
Organic Waste Reduction: 3.0 kg
CO2 Emissions Reduction: 0.5 kg
Landfill Use Reduction: 2.0 liters"
Use natural fiber or recycled insulation.,30,1.0,"When you skip one square meter of plastic insulation,
Plastic Waste Reduction: 0.3 kg
CO2 Emissions Reduction: 1.0 kg
Landfill Use Reduction: 1.5 liters"
Use natural rubber or cork soles.,30,0.7,"When you skip one pair of plastic shoe soles,
Plastic Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 0.7 kg
Landfill Use Reduction: 1.0 liters"
Use notebooks made from recycled paper or digital note-taking apps.,10,0.02,"When you skip one sheet of notebook paper,
Paper Waste Reduction: 0.005 kg
CO2 Emissions Reduction: 0.02 kg
Landfill Use Reduction: 0.01 liters"
Use only the necessary amount and return unused portions to a pharmacy.,20,0.15,"When you properly dispose of one prescription medication through a take-back program,
Environmental Pollution Reduction: High
Water Contamination Prevention: Essential
Public Safety Improvement: Significant"
Use only the prescribed amount and return unused portions.,20,0.15,"When you properly dispose of one pet medication,
Environmental Pollution Reduction: High
Water Contamination Prevention: Important
Public Safety Improvement: Significant"
Use paper padding or biodegradable bubble wrap.,15,0.05,"When you skip one sheet of plastic bubble wrap,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters"
Use patches as prescribed and return unused patches.,15,0.05,"When you properly dispose of one used patch,
Environmental Pollution Reduction: Moderate
Public Safety Improvement: Significant
Landfill Use Reduction: Minimal"
Use PEX or other durable plastic alternatives.,45,7.0,"When you skip one meter of metal pipe,
Metal Waste Reduction: 1.0 kg
CO2 Emissions Reduction: 7.0 kg
Landfill Use Reduction: 1.5 liters"
Use rechargeable batteries instead.,20,0.1,"When you skip one carbon zinc battery, Electronic Waste Reduction: 0.02 kg CO2 Emissions Reduction: 0.1 kg Landfill Use Reduction: 0.05 liters"
Use reclaimed or recycled wood beams in construction.,45,8.0,"When you repurpose or recycle one wooden beam,
Wood Waste Reduction: 30.0 kg
CO2 Emissions Reduction: 8.0 kg
Landfill Use Reduction: 25.0 liters"
Use reclaimed or sustainably sourced wood for furniture.,40,5.0,"When you repurpose or recycle one piece of wooden furniture,
Wood Waste Reduction: 20.0 kg
CO2 Emissions Reduction: 5.0 kg
Landfill Use Reduction: 15.0 liters"
Use reclaimed or sustainably sourced wood.,40,5.0,"When you repurpose or recycle one piece of wooden furniture,
Wood Waste Reduction: 20.0 kg
CO2 Emissions Reduction: 5.0 kg
Landfill Use Reduction: 15.0 liters"
Use reclaimed wood or certified sustainable wood for crafts.,25,0.3,"When you repurpose or recycle one batch of wooden craft materials,
Wood Waste Reduction: 1.0 kg
CO2 Emissions Reduction: 0.3 kg
Landfill Use Reduction: 0.8 liters"
Use reclaimed wood or sustainable alternatives like bamboo flooring.,35,2.0,"When you repurpose or recycle one square meter of wooden flooring,
Wood Waste Reduction: 8.0 kg
CO2 Emissions Reduction: 2.0 kg
Landfill Use Reduction: 6.0 liters"
Use recyclable cardboard or biodegradable blocks for packaging.,25,0.2,"When you skip one styrofoam block,
Plastic Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.3 liters"
Use recyclable or reusable cardboard tubes.,25,0.2,"When you skip one cardboard tube,
Paper Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.1 liters"
Use recyclable or reusable packaging tubes.,25,0.4,"When you skip one paper mailing tube,
Paper Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 0.2 liters"
Use recycled glass bricks.,35,1.5,"When you skip one glass brick,
Glass Waste Reduction: 2.0 kg
CO2 Emissions Reduction: 1.5 kg
Landfill Use Reduction: 2.5 liters"
Use recycled materials or participate in tire recycling programs.,50,30.0,"When you skip one metal wheel,
Metal Waste Reduction: 7.0 kg
CO2 Emissions Reduction: 30.0 kg
Landfill Use Reduction: 15 liters"
Use recycled or bamboo toilet paper.,10,0.005,"When you skip one sheet of toilet paper,
Paper Waste Reduction: 0.001 kg
CO2 Emissions Reduction: 0.005 kg
Landfill Use Reduction: 0.005 liters"
Use recycled or eco-friendly art materials.,10,0.03,"When you skip one piece of paper art supplies, Paper Waste Reduction: 0.01 kg CO2 Emissions Reduction: 0.03 kg Landfill Use Reduction: 0.02 liters"
Use recycled or eco-friendly packaging for retail products.,30,0.7,"When you skip one cardboard retail box,
Paper Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 0.7 kg
Landfill Use Reduction: 0.4 liters"
Use recycled or minimal packaging.,30,0.7,"When you skip one cardboard product packaging box,
Paper Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 0.7 kg
Landfill Use Reduction: 0.4 liters"
Use recycled or reusable cardboard boxes.,35,1.5,"When you skip one cardboard box,
Paper Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 1.5 kg
Landfill Use Reduction: 1.0 liters"
Use recycled or reusable corrugated cardboard.,35,1.5,"When you skip one square meter of corrugated cardboard,
Paper Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 1.5 kg
Landfill Use Reduction: 1.0 liters"
Use recycled or reusable shipping boxes.,35,1.5,"When you skip one cardboard shipping box,
Paper Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 1.5 kg
Landfill Use Reduction: 1.0 liters"
Use recycled paper envelopes or switch to digital communication.,10,0.03,"When you skip one envelope,
Paper Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.03 kg
Landfill Use Reduction: 0.02 liters"
Use recycled steel or timber beams in construction.,50,50.0,"When you skip one meter of steel beam,
Metal Waste Reduction: 15.0 kg
CO2 Emissions Reduction: 50.0 kg
Landfill Use Reduction: 25 liters"
Use refillable containers or Homemade Laundry Detergent Recipe,25,0.5,"When you skip one bottle,  Plastic Waste Reduction: 0.15 kg CO2 Emissions Reduction: 0.5 kg Landfill Use Reduction: 1.0 liters"
Use refillable glass lotion bottles instead of plastic.,20,0.09,"When you skip one bottle,  Plastic Waste Reduction: 0.02 kg CO2 Emissions Reduction: 0.09 kg Landfill Use Reduction: 0.15 liters"
Use refillable inhalers if available and recycle canisters.,20,0.15,"When you properly recycle or dispose of one inhaler,
Air Pollution Reduction: Moderate
Landfill Use Reduction: 0.1 liters
Recycling Impact: Metal and plastic recovery"
Use refillable metal or bamboo pens.,15,0.05,"When you skip one plastic pen,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters"
Use returnable glass soda bottles.,25,0.3,"When you skip one soda bottle,
Glass Waste Reduction: 0.35 kg
CO2 Emissions Reduction: 0.3 kg
Landfill Use Reduction: 0.45 liters"
Use reusable bottles instead of single-use ones.,20,0.15,"When you skip Plastic Bottles Etc., you can reduce Plastic Waste, CO2 Emissions and Landfill Use."
Use reusable cloth bags instead of paper bags.,15,0.08,"When you skip one paper bag,
Paper Waste Reduction: 0.02 kg
CO2 Emissions Reduction: 0.08 kg
Landfill Use Reduction: 0.05 liters"
Use reusable cloth or canvas bags.,15,0.06,"When you skip one grocery bag,
Plastic Waste Reduction: 0.015 kg
CO2 Emissions Reduction: 0.06 kg
Landfill Use Reduction: 0.12 liters"
Use reusable cloth towels instead of paper towels.,10,0.03,"When you skip one paper towel,
Paper Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.03 kg
Landfill Use Reduction: 0.02 liters"
Use reusable containers instead of single-use ones.,20,0.15,"When you skip plastic Etc., you can reduce Plastic Waste, CO2 Emissions and Landfill Use."
Use reusable containers or compostable alternatives.,15,0.08,"When you skip one styrofoam container,
Plastic Waste Reduction: 0.02 kg
CO2 Emissions Reduction: 0.08 kg
Landfill Use Reduction: 0.15 liters"
Use reusable containers when buying salads.,20,0.1,"When you skip one Plastic Salad Container,  Plastic Waste Reduction: 0.02 kg CO2 Emissions Reduction: 0.10 kg Landfill Use Reduction: 0.2 liters"
Use reusable coolers made from durable materials like stainless steel.,30,0.7,"When you skip one styrofoam medical cooler,
Plastic Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 0.7 kg
Landfill Use Reduction: 1.0 liters"
Use reusable cups in various materials like glass or metal.,15,0.05,"When you skip one colored cup,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters"
"Use reusable cups made from glass, metal, or bamboo.",15,0.05,"When you skip one styrofoam cup, Plastic Waste Reduction: 0.01 kg CO2 Emissions Reduction: 0.05 kg Landfill Use Reduction: 0.1 liters"
Use reusable cups or compostable paper cups.,10,0.03,"When you skip one paper cup,
Paper Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.03 kg
Landfill Use Reduction: 0.02 liters"
Use reusable drink sleeves or holders.,10,0.03,"When you skip one paper drink sleeve,
Paper Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.03 kg
Landfill Use Reduction: 0.02 liters"
Use reusable fabric tablecloths.,25,0.4,"When you skip one paper tablecloth,
Paper Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 0.2 liters"
Use reusable garment bags or request no bag.,15,0.06,"When you skip one plastic dry cleaner bag,
Plastic Waste Reduction: 0.015 kg
CO2 Emissions Reduction: 0.06 kg
Landfill Use Reduction: 0.12 liters"
Use reusable glass candle holders.,20,0.15,"When you skip one glass candle holder,
Glass Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 0.15 kg
Landfill Use Reduction: 0.25 liters"
Use reusable glass or metal cups.,15,0.05,"When you skip one clear cup,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters"
Use reusable metal or bamboo utensils.,20,0.15,"When you skip Plastic Utensils Etc., you can reduce Plastic Waste, CO2 Emissions and Landfill Use."
Use reusable or biodegradable decorations.,10,0.03,"When you skip one piece of paper decorations,
Paper Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.03 kg
Landfill Use Reduction: 0.02 liters"
Use reusable or biodegradable lanterns.,25,0.2,"When you skip one paper lantern,
Paper Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.1 liters"
Use reusable or compostable trays made from natural materials.,20,0.1,"When you skip one styrofoam tray,
Plastic Waste Reduction: 0.02 kg
CO2 Emissions Reduction: 0.1 kg
Landfill Use Reduction: 0.2 liters"
Use reusable or recycled egg cartons.,25,0.2,"When you skip one paper egg carton,
Paper Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.1 liters"
Use reusable or recycled gift boxes.,25,0.4,"When you skip one paper gift box,
Paper Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 0.2 liters"
"Use reusable plates made of glass, metal, or bamboo.",20,0.1,"When you skip one plate,
Plastic Waste Reduction: 0.02 kg
CO2 Emissions Reduction: 0.10 kg
Landfill Use Reduction: 0.2 liters"
Use reusable plates or compostable alternatives.,15,0.08,"When you skip one paper plate,
Paper Waste Reduction: 0.02 kg
CO2 Emissions Reduction: 0.08 kg
Landfill Use Reduction: 0.05 liters"
Use reusable snack bags instead of single-use wrappers.,10,0.03,"When you skip one snack wrapper,
Plastic Waste Reduction: 0.005 kg
CO2 Emissions Reduction: 0.03 kg
Landfill Use Reduction: 0.05 liters"
Use reusable water bottles instead of single-use ones.,15,0.08,"When you skip one plastic milk jug,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.08 kg
Landfill Use Reduction: 0.1 liters"
Use silicone baking mats or glass baking dishes.,35,3.0,"When you skip one metal baking sheet,
Metal Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 3.0 kg
Landfill Use Reduction: 1.0 liters"
Use solar roof tiles or recycled metal roofing.,50,20.0,"When you skip one square meter of metal roofing,
Metal Waste Reduction: 3.0 kg
CO2 Emissions Reduction: 20.0 kg
Landfill Use Reduction: 5.0 liters"
Use sustainably sourced or reclaimed wood for decorations.,25,0.3,"When you repurpose or recycle one wooden decoration,
Wood Waste Reduction: 1.0 kg
CO2 Emissions Reduction: 0.3 kg
Landfill Use Reduction: 0.8 liters"
Use sustainably sourced or reclaimed wood for utensils.,20,0.1,"When you repurpose or recycle one set of wooden utensils,
Wood Waste Reduction: 0.3 kg
CO2 Emissions Reduction: 0.1 kg
Landfill Use Reduction: 0.2 liters"
"Use wooden or bamboo furniture, or upcycle existing furniture.",50,25.0,"When you skip one piece of metal furniture,
Metal Waste Reduction: 10.0 kg
CO2 Emissions Reduction: 25.0 kg
Landfill Use Reduction: 20 liters"
Use wooden or bamboo hangers.,20,0.15,"When you skip one metal hanger,
Metal Waste Reduction: 0.02 kg
CO2 Emissions Reduction: 0.15 kg
Landfill Use Reduction: 0.1 liters"
Switch to glass cup to avoid plastic waste.,15,0.08,"When you skip one plastic cup,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.08 kg
Landfill Use Reduction: 0.1 liters"
